咪咕源,#genre#
CCTV-1综合,http://z.b.bkpcp.top/m.php?id=cctv1
CCTV-2财经,http://z.b.bkpcp.top/m.php?id=cctv2
CCTV-3综艺,http://z.b.bkpcp.top/m.php?id=cctv3
CCTV-4中文国际,http://z.b.bkpcp.top/m.php?id=cctv4
CCTV-4美洲,http://z.b.bkpcp.top/m.php?id=cctv4m
CCTV-4欧洲,http://z.b.bkpcp.top/m.php?id=cctv4o
CCTV-5体育,http://z.b.bkpcp.top/m.php?id=cctv5
CCTV-5+体育赛事,http://z.b.bkpcp.top/m.php?id=cctv5p
CCTV-6电影,http://z.b.bkpcp.top/m.php?id=cctv6
CCTV-7国防军事,http://z.b.bkpcp.top/m.php?id=cctv7
CCTV-8电视剧,http://z.b.bkpcp.top/m.php?id=cctv8
CCTV-9纪录,http://z.b.bkpcp.top/m.php?id=cctv9
CCTV-10科教,http://z.b.bkpcp.top/m.php?id=cctv10
CCTV-11戏曲,http://z.b.bkpcp.top/m.php?id=cctv11
CCTV-12社会与法,http://z.b.bkpcp.top/m.php?id=cctv12
CCTV-13新闻,http://z.b.bkpcp.top/m.php?id=cctv13
CCTV-14少儿,http://z.b.bkpcp.top/m.php?id=cctv14
CCTV-15音乐,http://z.b.bkpcp.top/m.php?id=cctv15
CCTV-17农业农村,http://z.b.bkpcp.top/m.php?id=cctv17
CHC家庭影院,http://z.b.bkpcp.top/m.php?id=jtyy
CHC动作电影,http://z.b.bkpcp.top/m.php?id=dzdy
CCTV发现之旅,http://z.b.bkpcp.top/m.php?id=fxzl
CCTV中学生,http://z.b.bkpcp.top/m.php?id=zxs
CGTN,http://z.b.bkpcp.top/m.php?id=cgtn
CGTN纪录,http://z.b.bkpcp.top/m.php?id=cgtnjl
CCTV西班牙语,http://z.b.bkpcp.top/m.php?id=cgtne
CCTV法语,http://z.b.bkpcp.top/m.php?id=cgtnf
CCTV阿拉伯语,http://z.b.bkpcp.top/m.php?id=cgtna
CCTV俄语,http://z.b.bkpcp.top/m.php?id=cgtnr
CETV 1 中国教育,http://z.b.bkpcp.top/m.php?id=cetv1
CETV 2 中国教育,http://z.b.bkpcp.top/m.php?id=cetv2
CETV 4 中国教育,http://z.b.bkpcp.top/m.php?id=cetv4
广东卫视,http://z.b.bkpcp.top/m.php?id=gdws
江苏卫视,http://z.b.bkpcp.top/m.php?id=jsws
东方卫视,http://z.b.bkpcp.top/m.php?id=dfws
陕西卫视,http://z.b.bkpcp.top/m.php?id=sxws
江西卫视,http://z.b.bkpcp.top/m.php?id=jxws
湖北卫视,http://z.b.bkpcp.top/m.php?id=hubws
河南卫视,http://z.b.bkpcp.top/m.php?id=hnws
东南卫视,http://z.b.bkpcp.top/m.php?id=dnws
大湾区卫视,http://z.b.bkpcp.top/m.php?id=dwqws
广东影视,http://z.b.bkpcp.top/m.php?id=gdys
上海新闻综合,http://z.b.bkpcp.top/m.php?id=shxw
上海东方影视,http://z.b.bkpcp.top/m.php?id=shys
SiTV 劲爆体育,http://z.b.bkpcp.top/m.php?id=jbty
SiTV 魅力足球,http://z.b.bkpcp.top/m.php?id=mlzq
